Name,Link,Language,Difficulty
linux,https://github.com/torvalds/linux,C,81
tensorflow,https://github.com/tensorflow/tensorflow,C++,66
vscode,https://github.com/microsoft/vscode,TypeScript,39
kubernetes,https://github.com/kubernetes/kubernetes,Go,94
pytorch,https://github.com/pytorch/pytorch,Python,90
fastapi,https://github.com/tiangolo/fastapi,Python,25
notebook,https://github.com/jupyter/notebook,Jupyter Notebook,9
flutter,https://github.com/flutter/flutter,Dart,18
OpenMDAO-Framework,https://github.com/OpenMDAO/OpenMDAO-Framework,Python,5
react-native,https://github.com/facebook/react-native,Java,41
DALL-E,https://github.com/openai/DALL-E,Python,57
yolov7,https://github.com/WongKinYiu/yolov7,Jupyter_Notebook,80
jenkins,https://github.com/jenkinsci/jenkins,Java,36
ansible,https://github.com/ansible/ansible,Python,35
LightGBM,https://github.com/microsoft/LightGBM,C++,51
elasticsearch,https://github.com/elastic/elasticsearch,Java,65
ChatDev,https://github.com/OpenBMB/ChatDev,Python,18
gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,Python,23
ToolJet,https://github.com/ToolJet/ToolJet,JavaScript,11
DocsGPT,https://github.com/arc53/DocsGPT,Python,20
ardupilot,https://github.com/ArduPilot/ardupilot,C++,46
rust,https://github.com/rust-lang/rust,Rust,43
brew,https://github.com/Homebrew/brew,Ruby,13
serenity,https://github.com/SerenityOS/serenity,C++,71
jabref,https://github.com/JabRef/jabref,Java,27
apps-android-commons,https://github.com/commons-app/apps-android-commons,Java,13
xwiki-platform,https://github.com/xwiki/xwiki-platform,Java,43
zerocode,https://github.com/authorjapps/zerocode,Java,11
sirix,https://github.com/sirixdb/sirix,Java,26
problem-solving-javascript,https://github.com/knaxus/problem-solving-javascript,JavaScript,6
Python-project-Scripts,https://github.com/larymak/Python-project-Scripts,Jupyter_Notebook,24
earthdata-search,https://github.com/nasa/earthdata-search,JavaScript,11
fprime,https://github.com/nasa/fprime,C++,2
osal,https://github.com/nasa/osal,C,26
opencv,https://github.com/opencv/opencv,C++,80
StereoPipeline,https://github.com/NeoGeographyToolkit/StereoPipeline,C++,70
cumulus,https://github.com/nasa/cumulus,JavaScript,15
hybridq,https://github.com/nasa/hybridq,Python,59
astrobee,https://github.com/nasa/astrobee,C++,55
Python-project-Scripts,https://github.com/larymak/Python-project-Scripts,Jupyter_Notebook,24
Inventory-Management-System,https://github.com/Akash-goyal-github/Inventory-Management-System,TypeScript,1
Kamu,https://github.com/dewanakl/Kamu,PHP,10
vue-mini-player,https://github.com/QingXia-Ela/vue-mini-player,HTML,5
Open-Source-Catalog,https://github.com/nasa/Open-Source-Catalog,JavaScript,26
xterm,https://github.com/joejulian/xterm,C,71
xorg-server,https://github.com/XQuartz/xorg-server,C,33
polybar,https://github.com/polybar/polybar,C++,54
wob,https://github.com/francma/wob,C,28
way-displays,https://github.com/alex-courtis/way-displays,C,57
